id,class_label,entities
12619,1,PERSON PERSON CARDINAL GPE PERSON PERSON NORP PERSON ORG GPE
2482,1,LOC CARDINAL ORG CARDINAL CARDINAL CARDINAL ORG ORG ORG ORG ORG ORG
61339,0,CARDINAL CARDINAL
81487,0,PRODUCT PERSON PERSON
87061,0,ORG ORG ORG ORG ORG ORG
6815,1,DATE DATE ORG ORG
75175,0,PERSON PERSON NORP NORP NORP
28262,0,NORP ORG
48319,0,PERSON PERSON
17070,1,PERCENT PERCENT PERCENT GPE GPE PERCENT PERCENT NORP GPE
59309,0,ORG PERSON PERSON PERSON DATE PERSON PERCENT PERCENT DATE DATE PERSON
37831,1,ORG GPE GPE PERSON DATE DATE DATE
54631,0,PERCENT PERCENT ORG
72756,0,ORG PERSON
15969,1,PERSON PERSON PERSON PERSON
76096,0,ORG ORG ORG PERSON GPE NORP PERSON PERSON MONEY GPE NORP
76556,0,PERSON PERSON PERSON PERSON PERSON PERSON
52948,0,GPE CARDINAL
48665,0,MONEY DATE DATE MONEY MONEY MONEY MONEY MONEY TIME TIME MONEY
36580,1,ORG ORG ORG ORG EVENT EVENT EVENT
34741,0,PERSON PERSON PERSON PERSON PERSON ORG ORG ORG ORG
51619,0,ORG MONEY MONEY PERSON PERSON CARDINAL CARDINAL CARDINAL CARDINAL
19247,1,0
360,1,NORP ORG ORDINAL
63501,0,ORG PERSON PERSON PERSON ORG PERSON ORG DATE
7308,1,CARDINAL
89402,0,PERSON PERSON MONEY CARDINAL PERSON ORG NORP
68509,0,GPE PERSON
46820,0,ORG ORG ORG
56406,1,PERSON PERSON PERSON DATE PERSON DATE CARDINAL PERSON DATE
65383,0,PERSON PERSON PERSON PERSON PERSON FAC FAC FAC FAC NORP ORG ORG ORG ORG PERSON PERSON
13427,1,QUANTITY QUANTITY PERSON
71811,0,CARDINAL CARDINAL
35750,0,PERSON PERSON GPE GPE NORP
82907,0,DATE NORP
62789,1,PERSON PERSON PERSON PERSON PERSON ORG ORG ORG ORG ORG PERSON PERSON PERSON PERSON
65645,0,ORG ORG ORG
9250,0,GPE CARDINAL CARDINAL DATE DATE GPE GPE
38555,1,ORG ORG PERSON
76301,0,PERSON ORG PERSON CARDINAL
14536,1,PERCENT PERCENT PERCENT PERCENT ORG ORG
10781,1,GPE GPE GPE
10461,1,ORG ORG CARDINAL
72489,0,ORG PERSON
41068,1,DATE DATE DATE ORG ORG ORG ORG ORG
16598,1,PERSON NORP NORP ORG ORG ORG ORG ORG NORP
80365,0,0
83268,0,PERSON ORG NORP
40184,1,0
47561,1,GPE CARDINAL ORG CARDINAL CARDINAL CARDINAL CARDINAL
36028,1,GPE DATE DATE PERCENT PERCENT PERCENT GPE PERCENT PERCENT CARDINAL
47188,0,DATE DATE DATE DATE ORG PERSON PERSON PERSON ORDINAL GPE GPE GPE GPE GPE GPE GPE GPE ORG ORG ORG ORG ORG ORG ORG
12849,1,ORG CARDINAL DATE DATE DATE DATE MONEY
12286,1,PERSON PERSON PERSON ORG ORG ORG ORG ORDINAL CARDINAL ORG ORG ORG
55759,0,ORG ORG ORG PERSON PERCENT PERCENT
67777,0,ORG PERSON PERSON NORP PERSON QUANTITY QUANTITY ORG PERSON PERSON PERSON PERSON PERSON PERSON PRODUCT
16225,1,ORG
16179,1,PERSON PERSON PERSON PERSON PERSON CARDINAL PERSON CARDINAL CARDINAL CARDINAL
24038,1,PERCENT PERCENT CARDINAL CARDINAL DATE PERCENT PERCENT ORG ORG PERSON DATE
85309,1,PERSON PERSON PERSON ORG CARDINAL
65327,0,PERSON PERSON PERSON PERSON
11898,1,PERSON PERSON CARDINAL ORG
5301,1,GPE
29492,0,PERSON ORG ORG
58499,0,PERSON PERSON CARDINAL
84804,0,ORG PERSON ORDINAL NORP NORP
51428,0,ORG ORG PERSON
11917,1,PERSON PERSON CARDINAL CARDINAL CARDINAL ORG GPE
30689,0,ORG GPE PERSON
24837,1,GPE DATE PERSON PERSON CARDINAL CARDINAL
26660,1,ORG ORG ORG ORG ORG LOC ORG ORG ORG ORG ORG
13632,1,0
36785,1,PERSON PERSON DATE DATE DATE
3909,1,ORG
73875,0,PERSON CARDINAL CARDINAL CARDINAL DATE DATE GPE ORG
49910,0,ORG GPE PERSON PERSON
39702,1,PERSON
55871,0,0
51702,0,PERSON PERSON
82978,0,DATE PERSON PERSON PERSON PERSON
19545,1,PERSON
6511,1,ORG ORG QUANTITY QUANTITY
68618,0,GPE NORP GPE
81400,0,PERSON TIME TIME
81437,0,PERSON ORDINAL
67455,0,ORG GPE
12467,1,PERSON PERSON
9902,1,ORG DATE DATE PERCENT PERCENT PERCENT PERCENT PERCENT DATE DATE
20263,1,GPE GPE GPE
88252,0,GPE GPE
48738,0,PERCENT PERCENT PERCENT PERCENT CARDINAL ORG ORG ORG ORG DATE DATE ORG PERCENT PERCENT ORG PERCENT PERCENT
41269,1,GPE ORG ORG ORG
79503,0,PERSON ORG PERCENT PERCENT NORP PERSON PRODUCT ORG PERSON PERSON
78653,0,PERSON PERSON NORP PERSON PERSON PERSON DATE DATE DATE CARDINAL
88360,0,PERSON PERSON PERSON ORG GPE GPE
10217,1,ORG NORP DATE DATE CARDINAL CARDINAL NORP DATE DATE DATE DATE DATE CARDINAL GPE GPE GPE GPE LOC LOC
81972,0,ORG PERSON PERSON ORG CARDINAL NORP DATE DATE DATE ORG CARDINAL
68782,0,ORG PERSON PERSON PERSON DATE PERSON PERSON PERSON GPE PERSON GPE
8785,1,PRODUCT
89325,0,GPE DATE DATE DATE DATE DATE PERSON
39372,1,PERSON PERSON DATE DATE DATE GPE
82223,0,PERSON DATE DATE DATE DATE DATE DATE PERSON PERSON WORK_OF_ART WORK_OF_ART WORK_OF_ART WORK_OF_ART
75265,0,PERSON PERSON ORG NORP MONEY MONEY MONEY MONEY
30857,0,ORG ORG PERSON PERSON
64028,0,PERSON PERSON PERSON PERSON PERSON DATE DATE DATE DATE PERSON PERSON ORDINAL PERSON PERSON PERSON PERSON
28863,0,0
67274,1,ORG ORG GPE ORG ORG CARDINAL
9604,1,ORG ORG GPE ORG PERSON ORG ORG
22352,1,ORG NORP PERSON PERCENT PERCENT ORG CARDINAL CARDINAL
55619,0,0
10748,1,PERSON PERSON GPE GPE GPE
32586,0,GPE
43913,0,DATE
28794,0,NORP PERSON PERSON PERSON PERSON DATE ORG NORP ORG ORG ORG ORG
41610,1,CARDINAL CARDINAL CARDINAL CARDINAL GPE CARDINAL FAC FAC FAC PERSON
48913,0,ORG ORG GPE PERSON ORG
45595,0,0
3948,1,ORG ORG ORG ORG NORP
39861,0,ORG ORG ORG
38300,1,PERSON PERSON PERSON PERSON
63893,0,ORG ORG ORG ORG PERSON PERSON PERSON PERSON TIME TIME TIME
23327,1,ORG ORG PERSON PERSON PERSON
35297,0,PERSON PERSON ORDINAL GPE GPE
40924,1,GPE ORG ORG
49199,1,ORG ORG PERSON NORP NORP ORG
24165,1,PERCENT PERCENT PERSON ORDINAL PERCENT PERCENT PERSON ORDINAL PERCENT PERCENT ORG ORG PERCENT PERCENT
57927,0,PERSON PERSON
79919,0,PERSON PERSON PERSON
88450,0,PERSON PERSON ORG ORG ORG NORP ORG ORG ORG ORG PERSON ORG ORG
33026,0,NORP DATE
45403,1,ORG GPE GPE GPE DATE CARDINAL CARDINAL CARDINAL CARDINAL
25703,1,CARDINAL PERSON PERSON PERSON NORP PERSON PERSON
10307,1,0
18500,1,PERSON PERSON PERSON PERSON PERSON
14012,1,NORP ORG CARDINAL CARDINAL CARDINAL PRODUCT PRODUCT PRODUCT
81135,0,PERSON PERSON PERSON CARDINAL GPE GPE
6546,1,ORG PERSON PERSON PERSON LAW LAW PERSON
56169,0,PERSON PERSON ORG ORG
69386,0,PERSON CARDINAL CARDINAL CARDINAL GPE GPE GPE GPE GPE
53501,0,NORP ORDINAL PERSON ORG PERSON PERSON
2777,1,ORG ORG ORG ORG ORG PERCENT PERCENT CARDINAL ORG ORG ORG ORG DATE DATE DATE
24151,1,PERCENT PERCENT PERCENT PERSON
63163,0,PERSON PERSON DATE DATE DATE
12085,1,PERSON PERSON CARDINAL ORG ORG
70032,0,PERSON PERSON GPE
80448,0,NORP DATE DATE DATE
66324,0,PERSON PERSON FAC FAC FAC ORG ORG ORG
49007,0,ORG GPE CARDINAL CARDINAL CARDINAL CARDINAL ORDINAL ORDINAL
49993,0,ORG ORG ORG ORG GPE
810,1,ORG ORG ORG PERSON PERSON ORG CARDINAL PERSON ORG ORG
73982,0,ORG
15783,1,PERSON PERSON PERSON PERSON PERSON PERSON PERSON ORG ORG ORG PERSON PERSON PERSON DATE NORP DATE
3733,1,GPE PERSON PERSON ORG
22229,1,ORG ORG PRODUCT GPE PRODUCT ORG
59489,0,NORP ORG PERSON PERSON PERSON
70792,0,GPE
45196,1,DATE DATE
88537,0,PERSON PERSON DATE
65507,0,DATE PERSON ORG CARDINAL CARDINAL PERSON CARDINAL CARDINAL ORG CARDINAL
42949,1,ORG GPE
22990,1,PERSON PERSON PERSON NORP ORG ORG PERSON
80934,0,ORG ORG ORG DATE DATE ORG
16957,1,CARDINAL PERCENT PERCENT GPE PERSON PERSON PERSON NORP CARDINAL
48792,0,GPE CARDINAL CARDINAL
85902,0,PERSON PERSON DATE DATE CARDINAL
28325,0,0
334,1,NORP
47325,0,PERCENT PERCENT PERCENT PERCENT PERCENT ORG ORG ORG ORG ORG PERSON PERSON
43191,1,GPE
46981,1,CARDINAL PERCENT PERCENT
13422,1,ORG ORG
81262,0,ORG CARDINAL GPE
88287,0,PERSON
36885,1,NORP NORP
33136,0,FAC DATE DATE ORG GPE
37276,1,PERSON PERSON NORP CARDINAL CARDINAL CARDINAL
54484,0,GPE GPE GPE DATE DATE DATE
5869,0,CARDINAL
7001,1,PERSON PERSON WORK_OF_ART WORK_OF_ART WORK_OF_ART WORK_OF_ART WORK_OF_ART WORK_OF_ART
868,1,GPE DATE DATE ORG CARDINAL ORG DATE DATE DATE DATE DATE CARDINAL ORG DATE DATE DATE ORG PERSON CARDINAL ORG CARDINAL DATE DATE DATE DATE
71512,0,PERSON GPE GPE GPE GPE GPE ORG ORG ORG ORG
65475,0,DATE PERSON CARDINAL CARDINAL CARDINAL
21682,1,ORG
36215,1,NORP NORP
79142,0,PERSON PERSON
60902,0,GPE CARDINAL CARDINAL CARDINAL ORG ORG ORG ORG ORG ORG ORG
32282,0,PERSON PERSON
58979,0,GPE LOC DATE LOC
53022,0,ORG
4059,1,ORG ORG ORG ORG
33194,0,ORG ORG ORG ORG ORG DATE DATE DATE CARDINAL CARDINAL
5668,1,ORG ORG ORG ORG
84673,0,CARDINAL PERCENT PERCENT PERCENT PERSON ORG
86752,0,0
73224,0,PERSON ORG DATE ORG ORG
42405,1,PERSON GPE GPE PERSON
74383,0,GPE DATE DATE
32980,0,GPE DATE DATE GPE PERSON PERSON PERSON ORG WORK_OF_ART WORK_OF_ART
46641,0,PERSON PERSON PERSON LOC ORG PERSON PERSON PERSON
15356,1,PERSON PERSON PERSON PERSON PERSON PERSON NORP NORP ORG ORG ORG ORG
19580,1,NORP NORP PERSON PERSON ORG ORG ORG CARDINAL CARDINAL CARDINAL NORP PERSON
44115,1,ORG ORG ORG NORP PERSON PERSON PERSON NORP NORP MONEY
60585,0,ORG ORG ORG ORG ORG
48333,0,PERSON PERSON MONEY PERSON FAC FAC ORG GPE MONEY
14417,1,PERSON PERSON GPE NORP
7472,1,ORG ORG ORG ORG ORG ORG ORG ORG ORG ORG ORG ORG ORG ORG
19132,1,ORDINAL
38974,1,PERSON
55758,0,ORG CARDINAL
80103,0,CARDINAL
32285,0,ORG DATE DATE PERSON MONEY MONEY MONEY MONEY
12636,1,DATE DATE MONEY MONEY MONEY MONEY MONEY
19538,1,PERSON PERSON GPE GPE CARDINAL
34584,0,PERSON PERSON PERSON PERSON ORG NORP
73390,0,CARDINAL CARDINAL CARDINAL PERSON
68888,0,NORP ORG
2093,0,PERSON PERSON GPE PERSON
89143,0,CARDINAL PERSON PERSON
34103,0,ORG ORG ORG ORG ORG CARDINAL CARDINAL CARDINAL CARDINAL ORG
44174,1,ORG ORG ORG ORG NORP NORP
82514,0,PERSON PERSON PERSON PERSON ORG DATE DATE ORG ORG
44807,1,DATE PERCENT PERCENT PERCENT ORG GPE
59599,0,ORG ORG DATE DATE ORG ORG ORG NORP WORK_OF_ART WORK_OF_ART WORK_OF_ART WORK_OF_ART WORK_OF_ART WORK_OF_ART GPE
67156,0,ORG GPE GPE PERSON PERSON PERSON PERSON
39783,1,GPE
5097,1,ORG ORG PERCENT PERCENT PERCENT PERCENT PERCENT PERCENT PERCENT PERCENT PERCENT PERCENT PERCENT PERCENT ORG PERCENT PERCENT PERCENT PERCENT
72111,0,PERSON DATE DATE DATE
19108,1,ORDINAL
4006,1,ORG ORG PERSON ORG PERSON FAC FAC FAC FAC ORG ORG FAC ORG ORG ORG ORG
75646,0,GPE CARDINAL PERSON GPE DATE DATE DATE ORG
16024,1,PERSON PERSON NORP NORP GPE PERSON GPE DATE DATE
29811,0,DATE DATE DATE DATE PERSON
32682,0,TIME TIME TIME TIME ORG DATE PERSON DATE DATE DATE
38332,1,CARDINAL GPE DATE DATE DATE DATE DATE DATE
61349,0,ORG CARDINAL CARDINAL DATE DATE DATE DATE
88874,0,PERSON
31579,0,ORG ORDINAL ORG MONEY
81760,0,PERSON PERSON PERSON
86185,0,PERSON PERSON PERSON
39656,1,ORG PERSON PERSON CARDINAL DATE DATE DATE CARDINAL ORG
69277,0,CARDINAL GPE
28715,0,PERSON ORG ORG ORG
2630,1,PERSON ORG ORG ORG ORG ORG ORG ORG GPE ORG PERSON CARDINAL
7560,1,GPE GPE GPE ORDINAL GPE ORDINAL CARDINAL CARDINAL GPE CARDINAL CARDINAL
47714,0,ORG PERSON PERSON ORG ORG ORG ORG ORG ORG ORG ORG ORG PERSON DATE DATE PERSON
59287,0,ORG ORG ORG ORG
89706,0,PERSON PERSON PERSON PERSON PERSON
43698,0,CARDINAL ORG
55439,0,PERSON PERSON LAW LAW LAW
13663,1,0
43406,1,0
8931,1,PERSON PRODUCT PERSON PERSON ORG
14164,1,PERSON PERSON ORG GPE PERSON DATE
84197,0,ORG CARDINAL CARDINAL DATE DATE CARDINAL CARDINAL CARDINAL CARDINAL CARDINAL
3788,1,GPE GPE DATE DATE DATE ORG CARDINAL CARDINAL CARDINAL ORG PERSON PERSON PERSON PERSON PERSON PERSON
67036,0,GPE DATE DATE PERSON NORP
27796,0,PERCENT PERCENT PERCENT PERCENT PERCENT PERCENT PERCENT PERCENT PERCENT PERCENT
13147,1,ORG GPE GPE MONEY MONEY MONEY MONEY GPE ORDINAL MONEY MONEY MONEY MONEY MONEY MONEY
35412,0,PERSON PERSON GPE GPE
57751,1,ORG PERSON PERSON CARDINAL CARDINAL PERSON CARDINAL LAW LAW LAW LAW LAW LAW LAW LAW LAW PRODUCT PRODUCT PRODUCT ORG ORG ORG ORG ORG MONEY MONEY PERCENT PERCENT CARDINAL
19315,1,GPE NORP
60017,0,DATE DATE PERSON ORG ORG GPE PERSON GPE
58349,1,FAC ORG GPE GPE
35368,0,CARDINAL ORG ORG CARDINAL GPE GPE GPE
44062,0,GPE GPE ORG ORG PERSON GPE
42686,1,PERCENT PERCENT PERCENT
20460,1,NORP
13899,1,QUANTITY QUANTITY NORP NORP PERSON GPE
28415,0,0
74465,0,DATE DATE PERSON
37866,1,PERSON PERSON GPE NORP CARDINAL CARDINAL LOC
19306,1,GPE MONEY MONEY QUANTITY QUANTITY
83058,0,ORDINAL DATE LOC LOC GPE
5202,1,ORG ORG ORG NORP GPE CARDINAL DATE DATE DATE ORDINAL GPE
36006,1,PERSON NORP ORDINAL GPE
54325,0,ORG ORG
15472,1,DATE DATE DATE DATE DATE DATE DATE ORG ORG ORG PERSON ORG ORG ORG
50507,0,DATE ORG ORG ORG ORG ORG ORG
84033,0,CARDINAL DATE DATE DATE ORG PERSON PRODUCT DATE DATE DATE DATE DATE DATE PERCENT PERCENT PERCENT
225,1,NORP GPE
31946,0,MONEY MONEY MONEY CARDINAL
40348,0,ORG ORG ORG GPE GPE PERSON NORP NORP ORG
57488,1,ORG
58165,0,PERSON PERSON
58166,0,PERSON PERSON PERSON PERSON PERSON
76528,0,NORP PERSON NORP
31861,0,PERSON PERSON CARDINAL ORG ORG ORG ORG CARDINAL ORG ORG PERSON PERSON
29143,0,ORG ORG
78640,0,ORG LOC PERSON LOC ORG
18056,1,ORG ORG PRODUCT PRODUCT PERSON WORK_OF_ART
44927,1,0
47671,0,ORG
82149,0,PERSON PERSON PERSON PERSON WORK_OF_ART WORK_OF_ART WORK_OF_ART WORK_OF_ART
76690,0,ORG CARDINAL ORG ORG ORG ORG CARDINAL ORG ORG
43555,1,ORG ORG ORG ORG ORG ORG ORG ORG ORG ORG PERSON PERSON PERSON
35841,0,ORG DATE DATE DATE DATE ORG
46672,0,PERSON PERSON PERSON PERSON PERSON PERSON ORG ORG ORG MONEY MONEY MONEY
58439,0,PERSON PERSON TIME TIME
32347,0,ORG GPE EVENT EVENT EVENT EVENT CARDINAL ORG
62935,0,ORG PERSON PERSON
14475,1,GPE NORP GPE DATE DATE QUANTITY QUANTITY QUANTITY QUANTITY QUANTITY QUANTITY QUANTITY CARDINAL CARDINAL CARDINAL CARDINAL CARDINAL DATE DATE QUANTITY QUANTITY QUANTITY QUANTITY QUANTITY QUANTITY
38961,1,PERSON GPE
31808,0,DATE DATE DATE DATE DATE
33964,0,PRODUCT GPE GPE GPE ORG GPE
44960,1,PERSON PERSON PERSON ORG DATE
15889,1,ORG CARDINAL NORP PERSON PERSON PERSON PERSON
73246,0,GPE PERCENT PERCENT PERCENT PERCENT PERCENT PERCENT DATE DATE PERCENT PERCENT
27391,0,ORG PERSON MONEY MONEY MONEY MONEY CARDINAL
69919,0,PERSON PERSON ORG
37171,1,0
88550,0,PERSON PERSON PERSON DATE DATE CARDINAL LOC
65271,0,ORG ORG ORG ORG ORG ORG ORG ORG QUANTITY QUANTITY QUANTITY PERCENT PERCENT CARDINAL CARDINAL CARDINAL PERCENT PERCENT CARDINAL CARDINAL CARDINAL PERCENT PERCENT PERCENT PERCENT
11131,1,ORG ORG DATE CARDINAL
53560,0,PERSON MONEY MONEY MONEY
83282,0,PERSON PERSON NORP ORG
82120,0,ORG PERSON PERSON DATE DATE WORK_OF_ART WORK_OF_ART WORK_OF_ART WORK_OF_ART PERSON PERSON WORK_OF_ART WORK_OF_ART WORK_OF_ART WORK_OF_ART
83404,0,PERSON PERSON
21695,1,PERSON
69262,0,PERSON PERSON PERSON GPE CARDINAL CARDINAL CARDINAL CARDINAL GPE PERSON PERSON PERSON PERSON LAW LAW
43678,0,CARDINAL
23447,1,PERSON PERSON PERSON LOC
43992,0,0
20745,1,CARDINAL NORP MONEY MONEY MONEY MONEY MONEY NORP PERSON
72493,0,PERSON CARDINAL
9563,1,PERSON GPE GPE GPE GPE GPE GPE GPE
15994,1,GPE GPE PERSON PERSON PERSON DATE
10608,1,CARDINAL CARDINAL
4205,1,DATE DATE DATE DATE PERCENT PERCENT PERCENT PERCENT
13507,1,DATE DATE DATE
84662,0,ORG GPE PERSON
63000,0,PERSON PERSON ORG PERSON
15132,1,GPE
87920,0,GPE ORG ORG FAC
30674,0,PERSON PERSON PERSON DATE PERSON DATE DATE DATE
41685,1,NORP NORP NORP ORG ORG ORG PERSON
23288,1,PERSON ORG ORG PERSON FAC FAC
80414,0,PRODUCT PRODUCT
79999,0,ORG PERSON PERSON ORG
32733,0,PERSON PERSON ORG ORG ORG DATE ORG ORG ORG
67537,0,PERSON PERSON PERSON PERSON ORG TIME TIME
28685,0,ORG ORG ORG CARDINAL CARDINAL CARDINAL CARDINAL CARDINAL QUANTITY QUANTITY QUANTITY QUANTITY CARDINAL CARDINAL CARDINAL CARDINAL CARDINAL CARDINAL CARDINAL ORG CARDINAL CARDINAL PERSON
24655,0,CARDINAL NORP GPE
11144,1,DATE CARDINAL DATE MONEY MONEY CARDINAL CARDINAL DATE CARDINAL
2395,1,CARDINAL GPE GPE PERSON DATE DATE GPE
60385,0,ORG ORG CARDINAL
81098,0,CARDINAL GPE GPE MONEY MONEY MONEY
34473,0,PERSON PERSON
8801,1,0
36007,1,PERSON ORG ORG ORG ORG NORP
33742,0,PERSON PERSON PERSON CARDINAL CARDINAL CARDINAL ORDINAL CARDINAL CARDINAL CARDINAL PERCENT PERCENT WORK_OF_ART WORK_OF_ART WORK_OF_ART
40498,1,ORG ORG ORG ORG NORP MONEY
81576,0,PERSON
47879,0,ORG GPE PERSON PERSON
53128,0,PERSON PERSON PERSON MONEY MONEY MONEY MONEY NORP DATE GPE
27531,0,PERSON PERSON PERSON ORG CARDINAL CARDINAL CARDINAL
26451,1,PERCENT PERCENT ORG ORG ORG ORG ORG ORG ORG
25723,1,ORG ORG ORG ORG PERSON PERSON DATE DATE DATE DATE ORG PERSON
3216,1,PERSON
72217,0,PERSON PERSON ORG GPE PERSON CARDINAL
19333,1,ORG GPE GPE
81823,0,PERSON PERSON
82499,0,PERSON PERSON WORK_OF_ART WORK_OF_ART WORK_OF_ART WORK_OF_ART ORG ORG ORG ORG PERSON PERSON PERSON
35826,0,PERSON PERSON ORG
55955,0,ORDINAL
55673,0,GPE
66474,0,CARDINAL FAC FAC FAC PERSON PERSON DATE DATE
53656,0,ORG PERSON NORP
1813,1,CARDINAL CARDINAL PERCENT PERCENT DATE PERCENT PERCENT PERCENT
71442,0,GPE GPE GPE GPE GPE ORG ORG PERSON GPE ORG ORG ORG
32886,0,PERSON PERSON DATE DATE PERSON PERSON PERSON PERSON
6499,1,GPE
83104,0,ORG ORG ORG ORG MONEY MONEY MONEY
16807,1,PERSON PERSON PERSON PERSON PERSON PERSON
72385,0,PERSON PERSON PERSON PERSON NORP
52571,0,ORG ORDINAL PERSON DATE
14076,0,CARDINAL PERSON CARDINAL
87841,0,CARDINAL ORG ORG ORG ORG NORP NORP NORP GPE ORG
51167,0,0
32294,0,0
79675,0,PERSON PERSON MONEY MONEY MONEY PERCENT PERCENT NORP GPE
15899,1,PERSON PERSON PERSON PERSON PERSON PERSON PERSON PERSON PERSON ORG
42785,1,GPE GPE
80943,0,GPE GPE
40421,1,NORP PERSON PERSON
52968,0,0
65957,0,GPE
52480,0,PERSON
60781,0,ORG CARDINAL ORG ORG CARDINAL ORG PERSON GPE
60972,0,TIME TIME CARDINAL CARDINAL CARDINAL CARDINAL CARDINAL ORG
74662,0,NORP PERSON NORP PERSON PERSON NORP DATE
70424,0,GPE GPE ORG ORG GPE PERSON ORG TIME TIME TIME TIME
3055,1,PERSON
41921,1,DATE DATE DATE PERCENT PERCENT NORP ORG ORG ORG
73355,1,ORG GPE
9313,1,CARDINAL CARDINAL CARDINAL NORP CARDINAL CARDINAL
22023,1,CARDINAL CARDINAL PERSON PERSON ORG DATE DATE DATE DATE CARDINAL CARDINAL CARDINAL
69156,0,GPE PERSON GPE ORG ORG ORG ORG
55878,0,PERSON PERSON PERSON PERSON ORG ORG ORG ORG
82137,0,PERSON PERSON PERSON LAW WORK_OF_ART WORK_OF_ART WORK_OF_ART WORK_OF_ART
3887,1,PERSON ORG ORG ORG ORG DATE DATE ORG
78965,0,PERSON ORG PERSON PERSON GPE ORG
28601,0,GPE DATE DATE CARDINAL CARDINAL CARDINAL CARDINAL CARDINAL
24373,1,ORG PERSON
23209,1,NORP PERSON PERSON NORP DATE DATE DATE
19739,1,ORG ORG ORG CARDINAL NORP
79339,0,PERSON ORG CARDINAL GPE
3855,1,ORG PERSON ORG PERSON ORG
71948,0,CARDINAL
34308,0,PERSON EVENT
49480,0,ORG PERSON NORP NORP DATE NORP
70067,0,ORG ORG ORG PERSON
58893,0,LOC
54161,0,CARDINAL DATE DATE DATE DATE DATE DATE
69526,0,ORG PERSON PERSON PERSON
13461,1,PERSON PERSON
62915,0,0
45241,1,DATE NORP PERSON PERSON
54195,0,DATE DATE DATE DATE DATE DATE DATE DATE DATE
5265,1,GPE CARDINAL CARDINAL DATE DATE
62598,0,PERSON PERSON
78367,0,PERSON PERSON
51303,0,GPE DATE DATE ORG ORG
19103,1,ORDINAL DATE DATE GPE PERSON PERSON
59464,0,PERSON PERSON
65555,0,PERSON PERCENT PERCENT PERSON PERSON PERSON PERSON
82329,0,PERSON PERSON WORK_OF_ART WORK_OF_ART WORK_OF_ART WORK_OF_ART
86027,0,GPE PERSON PERSON ORG ORG ORG ORG ORG PERSON
85108,0,GPE ORG ORG DATE DATE
20421,1,MONEY PERSON LAW LAW LAW DATE MONEY ORG
46615,0,DATE DATE LOC ORG DATE DATE ORG
85961,0,PERSON PERSON PERSON ORG ORG ORG ORG
79385,0,PERSON PERSON ORG ORG ORG ORG CARDINAL ORG GPE PERSON GPE CARDINAL CARDINAL GPE PERSON PERSON
67579,0,ORG ORG ORG NORP NORP GPE ORG ORG ORG
46557,0,PERSON PERSON DATE
37336,1,0
4266,1,PERSON DATE DATE DATE DATE CARDINAL CARDINAL DATE DATE PERSON
42125,1,PERSON
23031,1,PERSON NORP
58441,0,ORG ORG ORG ORG PERSON
49688,0,GPE PERCENT PERCENT PERCENT PERCENT
25351,1,PERSON PERSON PERSON PERSON PERSON PERSON
