id,class_label,entities
127,1,PERSON PERSON PERSON ORG ORG ORG NORP
128,1,PERSON NORP NORP PERSON
129,1,ORG CARDINAL NORP ORG PERCENT PERCENT PERCENT MONEY MONEY MONEY ORG NORP
130,1,ORG ORG NORP
131,1,CARDINAL CARDINAL NORP DATE DATE CARDINAL CARDINAL CARDINAL NORP CARDINAL CARDINAL
132,1,PERSON PERSON PERSON NORP GPE ORG CARDINAL CARDINAL CARDINAL CARDINAL CARDINAL
133,1,ORG NORP NORP ORG ORG ORG GPE
134,1,PERSON PERSON CARDINAL NORP DATE PERSON PERSON ORG ORG ORG NORP
135,1,TIME TIME ORG ORG ORG ORG ORG ORG ORG ORG CARDINAL NORP CARDINAL GPE
136,1,ORG ORG QUANTITY QUANTITY QUANTITY QUANTITY NORP
137,1,CARDINAL CARDINAL NORP DATE EVENT EVENT ORG DATE DATE CARDINAL DATE
138,1,ORG ORG ORG NORP
139,0,PERSON PERSON PERSON PERSON PERSON PERSON LOC PERSON PRODUCT NORP NORP GPE ORG ORG ORG CARDINAL MONEY PERSON PERSON
140,1,ORG ORG ORG NORP NORP NORP GPE GPE GPE
141,1,CARDINAL ORG ORG ORG ORG ORG NORP
142,1,LAW CARDINAL NORP
143,1,CARDINAL CARDINAL NORP ORG ORG ORG NORP ORG ORG GPE
144,1,NORP PERSON PERSON
145,1,CARDINAL TIME TIME MONEY MONEY MONEY NORP ORG ORG QUANTITY QUANTITY QUANTITY
146,1,NORP PERSON PERSON
147,1,ORG GPE PERSON NORP ORG
148,1,NORP NORP
149,0,NORP GPE
150,1,PERSON NORP
151,1,ORG CARDINAL GPE GPE CARDINAL CARDINAL NORP PERSON PERSON CARDINAL PERSON PERSON
152,1,ORG ORG ORG PERSON PERSON PERSON CARDINAL NORP
153,1,ORG ORG PERSON NORP
154,1,NORP NORP NORP ORG CARDINAL
155,1,NORP ORG CARDINAL NORP NORP
156,1,NORP
157,0,ORG ORG PERSON CARDINAL NORP DATE DATE DATE DATE CARDINAL DATE DATE DATE
158,1,PERSON ORG NORP
159,1,PERCENT PERCENT NORP
160,0,CARDINAL CARDINAL NORP GPE
161,1,GPE ORG NORP GPE
162,1,NORP GPE
163,1,ORG PERSON NORP PERSON
164,1,PERSON CARDINAL CARDINAL CARDINAL CARDINAL NORP
165,1,ORG CARDINAL CARDINAL NORP
166,1,FAC FAC GPE PERSON NORP GPE
167,1,PERSON ORG ORG NORP
168,1,PERSON NORP GPE CARDINAL
169,1,DATE DATE NORP GPE DATE DATE ORG
170,1,ORG ORG PERSON NORP
171,1,NORP
172,1,NORP NORP ORG CARDINAL
173,1,CARDINAL CARDINAL NORP NORP NORP
174,1,ORG ORG ORG ORG PERSON NORP
175,1,PERSON PERSON PERSON ORG ORG ORG ORG CARDINAL NORP PERSON PERSON PERSON PERSON
176,1,NORP CARDINAL DATE DATE DATE CARDINAL CARDINAL GPE
177,1,CARDINAL CARDINAL NORP GPE CARDINAL DATE
178,1,PERSON PERSON NORP GPE GPE ORG
179,1,NORP GPE GPE
180,1,ORG CARDINAL NORP
181,1,ORG ORG WORK_OF_ART ORG NORP NORP
182,1,PERSON ORG ORG NORP
183,1,CARDINAL PERSON NORP CARDINAL CARDINAL CARDINAL CARDINAL
184,1,NORP
185,1,ORG ORG ORG ORG ORG CARDINAL NORP
186,1,ORG DATE PERSON ORG ORG ORG ORG ORG
187,1,PERCENT PERCENT NORP LOC
188,1,ORG CARDINAL NORP DATE DATE ORG ORG ORG
189,1,NORP LOC NORP
190,1,PERSON ORG NORP
191,1,NORP NORP ORG CARDINAL
192,1,ORG NORP
193,0,NORP CARDINAL CARDINAL CARDINAL
194,1,CARDINAL NORP NORP ORG CARDINAL
195,1,CARDINAL NORP
196,1,PERSON PERSON NORP NORP
197,1,PERSON CARDINAL NORP
198,1,PERSON PERSON CARDINAL NORP GPE CARDINAL NORP PERSON CARDINAL
199,1,DATE DATE ORG ORG DATE DATE DATE DATE DATE NORP
200,1,PERSON PERSON PERSON CARDINAL NORP DATE DATE PERSON ORDINAL DATE
201,1,CARDINAL CARDINAL NORP
202,1,NORP NORP
203,1,NORP
204,0,ORG ORG NORP NORP ORG MONEY MONEY MONEY PRODUCT
205,1,PERSON ORG NORP
206,1,ORG NORP
207,1,ORG DATE DATE DATE PERCENT PERCENT CARDINAL NORP
208,1,ORG ORG ORG NORP NORP PERSON
209,1,NORP ORDINAL
210,1,NORP PERSON PERSON DATE DATE ORG NORP PERSON CARDINAL
211,1,NORP NORP PERCENT PERCENT PERCENT PERCENT PERCENT CARDINAL
212,1,PERCENT PERCENT NORP NORP
213,1,GPE ORG DATE DATE ORG CARDINAL CARDINAL CARDINAL NORP
214,1,ORG ORG ORG PRODUCT PRODUCT PRODUCT ORG ORG ORG CARDINAL EVENT EVENT ORG
215,1,NORP ORG
216,1,ORG GPE GPE CARDINAL NORP PERSON
217,0,ORG ORG ORG ORG ORG PERSON NORP
218,1,WORK_OF_ART WORK_OF_ART WORK_OF_ART WORK_OF_ART WORK_OF_ART WORK_OF_ART WORK_OF_ART WORK_OF_ART WORK_OF_ART WORK_OF_ART WORK_OF_ART WORK_OF_ART WORK_OF_ART WORK_OF_ART WORK_OF_ART
219,1,ORG NORP ORG
220,1,ORG PERSON PERSON ORDINAL NORP GPE ORDINAL ORG ORG ORDINAL
221,0,PERCENT PERCENT PERCENT ORG ORG ORG ORG ORG CARDINAL CARDINAL CARDINAL ORG ORG ORG ORG ORG ORG ORG ORG ORG
222,1,ORG NORP PERSON NORP
223,1,ORG CARDINAL NORP
224,1,PERSON PERSON PERSON PERSON PERSON PERSON LOC PERSON PRODUCT NORP NORP GPE ORG ORG ORG CARDINAL MONEY PERSON PERSON
225,1,NORP GPE
226,1,GPE ORG ORG ORG ORG NORP
227,1,CARDINAL CARDINAL NORP MONEY MONEY MONEY
228,1,GPE MONEY CARDINAL CARDINAL CARDINAL NORP PERSON PERSON PERSON ORG ORG ORG ORG ORG ORG ORG ORG ORG
229,1,NORP
230,1,ORG ORG ORG NORP
231,0,PERSON FAC NORP PERCENT PERCENT
232,1,ORG NORP PERSON PERSON PERSON PERSON PERSON
233,1,PERSON PERSON GPE NORP
234,1,ORG NORP ORG
235,1,GPE CARDINAL NORP
236,1,ORG ORG ORG CARDINAL NORP
237,1,GPE CARDINAL CARDINAL CARDINAL CARDINAL NORP
238,1,NORP GPE
239,1,ORG ORG ORG ORG ORG ORG ORG NORP DATE DATE ORG LOC LOC LOC ORG PERSON ORG
240,1,FAC DATE DATE DATE DATE DATE ORG NORP MONEY
241,1,ORG ORG ORG NORP GPE GPE ORG ORG ORG
242,1,LOC LOC LOC PERSON PERSON PERSON PERSON NORP
243,1,NORP GPE GPE GPE ORG ORG
244,1,PERSON GPE DATE DATE CARDINAL CARDINAL PERCENT PERCENT NORP ORG ORG ORG ORG PERSON
245,1,CARDINAL CARDINAL CARDINAL NORP NORP
246,0,PERSON ORG NORP
247,1,CARDINAL NORP
248,1,PERSON PERSON CARDINAL NORP GPE CARDINAL
249,1,NORP
250,1,ORG ORG PERSON CARDINAL CARDINAL CARDINAL NORP
251,1,NORP NORP
252,1,PERSON NORP PERSON CARDINAL
253,1,ORG CARDINAL NORP NORP
254,1,PERSON ORG PERSON
255,1,ORDINAL NORP
256,1,NORP ORG CARDINAL NORP PERSON PERSON
257,1,ORG ORG PERSON NORP
258,1,ORG NORP
259,0,CARDINAL NORP
260,1,NORP NORP ORG CARDINAL
261,1,NORP
262,1,CARDINAL CARDINAL CARDINAL NORP
263,1,DATE DATE CARDINAL CARDINAL DATE NORP CARDINAL PERSON
264,1,ORG ORG ORG ORG ORG NORP GPE PERSON NORP GPE
265,1,CARDINAL NORP
266,1,ORG NORP NORP CARDINAL NORP
267,1,NORP
268,1,DATE DATE CARDINAL NORP DATE DATE DATE
269,1,NORP
270,1,PERSON PERSON NORP NORP
271,1,NORP ORG ORG ORG ORG
272,1,CARDINAL ORG ORG ORG CARDINAL ORG
273,1,ORG NORP MONEY ORG MONEY MONEY MONEY MONEY
274,1,ORG ORG ORG PERSON PERSON CARDINAL NORP
275,1,ORG ORG ORG NORP NORP
276,1,PRODUCT CARDINAL CARDINAL ORG ORG ORG PERSON CARDINAL ORG ORG ORG CARDINAL
277,1,ORG NORP CARDINAL CARDINAL NORP EVENT EVENT
278,1,ORG NORP MONEY MONEY MONEY PERSON ORG ORG PERSON
279,1,ORG NORP
280,1,NORP NORP
281,1,PERSON FAC PERSON NORP
282,1,ORG NORP NORP
283,1,GPE NORP
284,1,ORG NORP NORP
285,1,DATE DATE CARDINAL CARDINAL NORP GPE
286,1,CARDINAL NORP
287,1,NORP NORP ORG CARDINAL
288,1,PERCENT PERCENT NORP MONEY
289,1,CARDINAL NORP
290,1,ORG GPE GPE
291,1,PERCENT PERCENT NORP
292,1,ORG ORG ORG ORG ORG DATE DATE MONEY MONEY MONEY MONEY NORP PERSON
293,1,ORG ORG ORG GPE CARDINAL NORP
294,1,DATE NORP ORG
295,1,ORG NORP
296,1,NORP
297,1,ORG NORP ORG
298,1,CARDINAL ORG ORG ORG CARDINAL NORP
299,1,DATE DATE DATE DATE CARDINAL NORP GPE CARDINAL NORP PERSON ORG ORG ORG ORG
300,1,NORP
301,1,NORP GPE ORG ORG ORG ORG ORG ORG ORG ORG
302,1,GPE NORP ORG ORG ORG NORP
303,1,PERSON ORG ORG ORG ORG ORG ORG ORG NORP DATE NORP
304,1,CARDINAL CARDINAL NORP ORG NORP
305,1,NORP
306,1,ORG NORP ORG
307,1,PERSON ORG ORG ORG ORG ORG NORP ORG GPE ORG
308,1,NORP CARDINAL ORG ORG ORG NORP PERSON FAC DATE DATE ORG
309,1,ORG ORG ORG ORG GPE GPE NORP
310,1,NORP
311,1,NORP
312,1,PERSON PERSON PERSON PERSON NORP PERSON PERSON
313,1,NORP GPE LAW
314,1,NORP
315,1,MONEY NORP
316,1,NORP
317,1,PERSON PERSON PERSON PERSON ORG ORG PRODUCT NORP NORP GPE ORG ORG ORG CARDINAL MONEY PERSON PERSON
318,1,ORG ORG ORG PERSON NORP
319,1,PRODUCT ORDINAL NORP GPE
320,1,NORP ORG ORG ORG ORG NORP ORG
321,1,CARDINAL NORP CARDINAL CARDINAL
322,1,GPE PERSON DATE NORP GPE DATE MONEY
323,1,ORDINAL GPE GPE CARDINAL NORP
324,1,DATE DATE DATE NORP
325,1,ORG ORG ORG ORG ORG ORG ORG ORG ORG ORG ORG ORG ORG ORG ORG ORG GPE CARDINAL NORP CARDINAL
326,1,PERSON ORG ORG ORG CARDINAL NORP
327,1,CARDINAL NORP
328,1,GPE ORG NORP CARDINAL
329,1,PERCENT PERCENT NORP ORG ORG
330,1,ORG ORG NORP CARDINAL DATE DATE DATE
331,1,WORK_OF_ART WORK_OF_ART WORK_OF_ART WORK_OF_ART ORG ORG ORG ORG PERSON DATE DATE DATE CARDINAL NORP
332,1,GPE NORP MONEY MONEY MONEY MONEY ORG ORG ORG ORG ORG
333,1,DATE DATE DATE PERSON PERSON DATE NORP MONEY NORP
334,1,NORP
335,1,ORG ORG
336,1,PERSON ORG ORG ORG ORG MONEY MONEY ORG ORG ORG ORG ORG NORP
337,1,MONEY ORG NORP
338,1,NORP ORG ORG ORG ORG
339,1,GPE GPE NORP
340,1,ORG GPE GPE NORP MONEY MONEY MONEY CARDINAL CARDINAL NORP
341,1,ORG CARDINAL CARDINAL NORP ORG
342,1,PERSON PERSON PERSON PERSON PERSON DATE DATE DATE ORG ORG NORP ORG ORG ORG ORG NORP CARDINAL MONEY ORG ORG ORG ORG PERSON PERSON
343,1,NORP NORP
344,1,PRODUCT CARDINAL PERSON PERSON ORG CARDINAL CARDINAL CARDINAL NORP NORP CARDINAL ORG
345,1,NORP
346,1,GPE NORP PERSON PERSON MONEY MONEY
347,1,PERSON ORG ORG ORG NORP
348,1,CARDINAL CARDINAL NORP PERCENT PERCENT DATE DATE PERCENT PERCENT ORG ORG ORG
349,1,NORP NORP ORG CARDINAL
350,0,CARDINAL NORP PRODUCT
351,1,NORP
352,1,CARDINAL CARDINAL CARDINAL PERSON DATE PERSON PERSON
353,1,NORP
354,1,ORG ORG CARDINAL NORP PERSON
355,0,PERSON ORG NORP
356,1,PERSON ORG ORG NORP
357,1,ORG ORG ORG DATE PERSON PERSON CARDINAL NORP ORG CARDINAL
358,1,GPE DATE NORP
359,1,ORG ORG PERSON NORP
360,1,NORP ORG ORDINAL
361,0,PERSON NORP
362,1,PERSON PERSON PERSON NORP
363,1,PERSON ORG CARDINAL NORP NORP
364,1,GPE CARDINAL CARDINAL NORP GPE PERSON ORDINAL GPE GPE
365,1,CARDINAL DATE CARDINAL NORP
366,1,NORP DATE DATE DATE PERSON
367,1,ORG ORG ORG ORG ORG NORP GPE PERSON
368,1,PERSON PERSON PERSON PERSON PERSON PERSON CARDINAL CARDINAL NORP
369,1,ORG DATE DATE NORP ORG NORP
370,1,PERCENT PERCENT PERCENT NORP PERSON MONEY ORG
371,1,ORG ORG ORG ORG PERSON PERSON DATE DATE ORG NORP GPE NORP
372,1,ORG NORP NORP ORG CARDINAL
373,1,NORP NORP ORG ORG ORG NORP
374,1,CARDINAL NORP
375,1,PERSON EVENT EVENT EVENT ORG ORG NORP
376,1,PERSON PERSON CARDINAL NORP
377,1,PERSON PERCENT PERCENT NORP CARDINAL CARDINAL CARDINAL ORG
378,1,NORP CARDINAL NORP
379,1,PERSON PRODUCT ORG ORG ORG ORG ORG ORG
380,1,ORG ORG ORG CARDINAL DATE DATE DATE ORG ORG ORG CARDINAL NORP NORP PERSON
381,0,PERCENT PERCENT NORP MONEY PERSON PERSON
382,1,PERSON NORP
383,1,ORG ORG ORG NORP CARDINAL CARDINAL CARDINAL MONEY MONEY MONEY
384,1,NORP LAW ORG NORP GPE
385,1,CARDINAL NORP ORG
386,1,ORG ORG MONEY DATE MONEY MONEY MONEY NORP ORG
387,1,NORP GPE ORG ORG PERCENT PERCENT ORG ORG ORG ORG ORG GPE GPE
388,1,ORG ORG ORG ORG PERSON PERSON CARDINAL NORP NORP
389,1,PERSON PERSON CARDINAL NORP GPE CARDINAL PERSON
390,1,ORG CARDINAL CARDINAL PRODUCT
391,1,ORG ORG ORG ORG NORP ORG
392,1,NORP NORP ORG CARDINAL
393,1,PERSON PERSON PERSON NORP
394,1,ORG ORG ORG ORG NORP
395,0,ORG ORG ORG NORP
396,1,CARDINAL ORG ORG ORG ORG ORG PERSON CARDINAL NORP NORP
397,1,ORG ORG NORP
398,1,ORG CARDINAL CARDINAL NORP CARDINAL
399,1,NORP GPE PERSON PERSON PERSON GPE
400,1,ORG NORP
401,1,PERSON PERSON PERSON PERSON PERSON LOC PERSON PRODUCT NORP NORP GPE ORG ORG ORG CARDINAL MONEY PERSON PERSON
402,1,ORG NORP
403,1,PERSON PERSON PERSON PERSON PERSON LOC PERSON NORP NORP GPE ORG ORG ORG MONEY
404,1,ORG PERSON
405,0,NORP NORP
406,1,PERSON PERSON PERSON PERSON PERSON NORP ORG DATE DATE ORG ORG GPE NORP PERSON DATE
407,1,NORP GPE PERSON
408,1,DATE ORG NORP CARDINAL
409,1,PERSON ORG ORG ORG GPE PERSON NORP
410,1,ORG ORG ORG ORG ORG ORG ORG ORG ORG ORG WORK_OF_ART WORK_OF_ART WORK_OF_ART WORK_OF_ART WORK_OF_ART ORG ORG ORG ORG ORG CARDINAL NORP
411,1,NORP PERSON PERSON NORP
412,1,DATE DATE NORP NORP NORP NORP
413,1,ORG MONEY MONEY MONEY NORP ORG
414,1,ORG ORG GPE CARDINAL NORP CARDINAL NORP
415,1,ORG ORG ORG ORG ORG ORG ORG CARDINAL WORK_OF_ART WORK_OF_ART CARDINAL ORG ORG ORG GPE ORG NORP ORG
416,1,PERSON NORP PERSON PERSON GPE
417,1,NORP NORP
418,1,NORP GPE PERSON
419,0,NORP NORP
420,1,NORP NORP NORP ORG
421,1,NORP
422,1,NORP CARDINAL NORP
423,1,DATE DATE ORG NORP NORP MONEY
424,1,CARDINAL CARDINAL NORP ORG DATE TIME TIME ORG CARDINAL
425,0,ORDINAL ORG MONEY MONEY MONEY NORP NORP CARDINAL CARDINAL CARDINAL CARDINAL CARDINAL CARDINAL
426,1,PERCENT PERCENT PERCENT NORP ORG ORG GPE
427,1,CARDINAL CARDINAL NORP NORP
428,1,DATE DATE DATE DATE NORP PERSON
429,1,GPE PERSON CARDINAL NORP PERSON CARDINAL ORG
430,1,CARDINAL NORP
431,1,PERSON PERSON NORP
432,1,PERSON PERSON PERSON NORP
433,1,PERSON PERSON GPE FAC DATE DATE PERSON CARDINAL CARDINAL CARDINAL NORP
434,1,ORG CARDINAL NORP GPE CARDINAL
435,1,PERSON PERSON DATE DATE NORP
436,1,TIME CARDINAL NORP
437,1,DATE CARDINAL CARDINAL CARDINAL NORP
438,1,ORG PERSON CARDINAL CARDINAL CARDINAL CARDINAL CARDINAL NORP ORG
439,1,NORP
440,1,GPE CARDINAL CARDINAL NORP ORG
441,1,NORP PERSON NORP ORG
442,1,CARDINAL NORP CARDINAL CARDINAL CARDINAL
443,1,ORG NORP
444,1,NORP
445,1,GPE CARDINAL ORG ORG PERSON NORP GPE GPE
446,1,NORP NORP ORG CARDINAL GPE PRODUCT GPE PERSON
447,1,NORP NORP ORG GPE NORP GPE
448,1,TIME TIME TIME ORG ORG CARDINAL DATE DATE CARDINAL NORP CARDINAL CARDINAL CARDINAL NORP DATE
449,1,PERSON PERSON PERSON PERSON PERSON PERSON CARDINAL NORP
450,1,CARDINAL NORP
451,1,PERSON PERSON PERSON PERSON PERSON PERSON PERSON PERSON PERSON LOC PERSON NORP NORP GPE ORG ORG ORG CARDINAL MONEY PERSON PERSON
452,1,FAC FAC FAC FAC FAC ORG NORP NORP
453,1,ORG ORG ORG ORG ORG DATE ORG ORG ORG ORG NORP
454,0,NORP ORG ORG ORG ORG
455,1,ORG ORG PERSON PERSON PERSON NORP ORG ORG ORG ORG NORP
456,0,PERSON NORP DATE
457,1,NORP CARDINAL NORP
458,1,ORG PERSON PERSON PERSON ORG ORG ORG ORG NORP NORP DATE LAW
459,1,ORG ORG CARDINAL NORP ORG PERSON ORG CARDINAL NORP PERSON DATE DATE PERSON PERSON FAC
460,1,ORG NORP
461,1,CARDINAL CARDINAL NORP ORG ORG ORG NORP NORP NORP
462,1,CARDINAL PERSON ORG PERCENT PERCENT NORP ORG
463,1,NORP
464,1,GPE ORG NORP NORP
465,1,DATE GPE CARDINAL CARDINAL NORP PERSON
466,1,CARDINAL CARDINAL NORP TIME TIME NORP ORG CARDINAL ORG ORG ORG
467,1,CARDINAL NORP CARDINAL CARDINAL CARDINAL CARDINAL
468,1,ORG NORP
469,1,ORG ORG ORG PERSON PERSON NORP
470,1,NORP CARDINAL
471,1,NORP
472,1,CARDINAL NORP MONEY MONEY MONEY
473,1,ORG NORP NORP
474,1,ORG NORP
475,1,ORG CARDINAL NORP
476,1,NORP GPE ORG ORG ORG ORG ORG ORG ORG ORG
477,1,NORP CARDINAL
478,1,NORP
479,1,ORG DATE DATE NORP NORP
480,1,NORP
481,1,NORP CARDINAL
482,1,MONEY MONEY MONEY ORG ORG ORG TIME TIME CARDINAL CARDINAL CARDINAL NORP NORP
483,1,NORP NORP PERSON PERSON
484,1,NORP MONEY CARDINAL CARDINAL
485,1,PERSON PERSON PERSON PERSON LOC PERSON NORP NORP GPE ORG ORG ORG MONEY
486,1,NORP ORG ORG ORG
487,1,MONEY MONEY MONEY ORG NORP NORP
488,1,ORG CARDINAL NORP
489,1,ORG ORG CARDINAL
490,1,PERSON CARDINAL ORG NORP
491,1,GPE ORG CARDINAL ORG DATE DATE DATE DATE NORP GPE ORG PERSON
492,1,ORG ORG ORG ORG ORG ORG ORG ORG CARDINAL ORG
493,1,CARDINAL GPE PERSON ORG ORG ORG CARDINAL GPE
494,0,DATE DATE ORG ORG CARDINAL ORG NORP CARDINAL
495,1,GPE PERSON CARDINAL ORG GPE ORG
496,1,CARDINAL NORP ORG DATE PERSON ORG DATE ORG ORG ORG DATE DATE
497,1,GPE DATE ORG CARDINAL ORG
498,1,PERSON EVENT EVENT EVENT CARDINAL ORG ORG
499,1,ORG GPE CARDINAL TIME TIME CARDINAL
500,1,ORG ORG CARDINAL ORG ORG ORG ORG
501,1,PERSON ORG NORP CARDINAL ORG NORP PERSON FAC FAC
502,1,PERSON CARDINAL ORG GPE GPE GPE DATE DATE DATE
503,1,LOC LOC CARDINAL ORG ORG ORG ORG NORP ORDINAL
504,1,ORG CARDINAL ORG NORP
505,1,ORG DATE DATE ORG CARDINAL DATE GPE
506,1,ORG NORP CARDINAL ORG ORG
507,1,PERSON CARDINAL ORG GPE CARDINAL DATE GPE GPE PERSON
508,0,ORG ORG ORG ORG CARDINAL ORG ORG CARDINAL
